DATASET: HealTheCar

+------------------------------------------------------------------+
|                        EVALUATION METRICS                        |
+--------------------------------------------+---------------------+
| Metric                                     | Value               |
+--------------------------------------------+---------------------+
| Graph Count                                | 29                  |
| Graphs that produced SEMENTs               | 29                  |
| Graphs w/ SEMENTs coverage                 | 1.0                 |
| Graphs that generated text                 | 29                  |
| Graphs w/ text coverage                    | 1.0                 |
+--------------------------------------------+---------------------+
| Total Node Count                           | 121                 |
| Total Nodes Covered                        | 117                 |
| Total Nodes Included                       | 117                 |
| Total Node Coverage                        | 0.9669421487603306  |
| Total Node Inclusion                       | 0.9669421487603306  |
+--------------------------------------------+---------------------+
| Total Edge Count                           | 93                  |
| Total Edges Covered                        | 89                  |
| Total Edges Included                       | 89                  |
| Total Edge Coverage                        | 0.956989247311828   |
| Total Edge Inclusion                       | 0.956989247311828   |
+--------------------------------------------+---------------------+
| # Semantic Composition Functions Available | 37                  |
| # Semantic Composition Functions Used      | 16                  |
| # Semantic Composition Function Coverage   | 0.43243243243243246 |
+--------------------------------------------+---------------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                            GRAPH SUMMARIES                                                                             |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+
| Graph Name                 | Generated SEMENT? | # of text results | Nodes | Node Coverage      | Node Inclusion     | Edges | Edge Coverage      | Edge Inclusion     |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+
| idArea1_subgraph           | True              | 1037              | 5     | 0.8                | 0.8                | 4     | 0.75               | 0.75               |
| idBear1_subgraph           | True              | 432               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idBumper1_subgraph         | True              | 60                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idBush1_subgraph           | True              | 300               | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idCar1_subgraph            | True              | 450               | 7     | 0.8571428571428571 | 0.8571428571428571 | 6     | 0.8333333333333334 | 0.8333333333333334 |
| idCarDoor1_subgraph        | True              | 1472              | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idCarKey1_subgraph         | True              | 960               | 5     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idClearing1_subgraph       | True              | 60                | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idCrowbar1_subgraph        | True              | 360               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idDen1_subgraph            | True              | 75                | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idHorse1_subgraph          | True              | 10                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idLock1_subgraph           | True              | 75                | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idMan1_subgraph            | True              | 144               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idPassenger1_subgraph      | True              | 10                | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idPlayerBackside_subgraph  | True              | 768               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idPlayerLeftHand_subgraph  | True              | 1280              | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idPlayerRightHand_subgraph | True              | 1475              | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idPlayer_subgraph          | True              | 2495              | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idSideMirror1_subgraph     | True              | 360               | 5     | 0.8                | 0.8                | 4     | 0.75               | 0.75               |
| idSmoke1_subgraph          | True              | 72                | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idSpill1_subgraph          | True              | 240               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idStump1_subgraph          | True              | 1080              | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idTaillight1_subgraph      | True              | 180               | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idTheCar1_subgraph         | True              | 60                | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idTheCarRoom1_subgraph     | True              | 3600              | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idTire1_subgraph           | True              | 75                | 5     | 0.8                | 0.8                | 4     | 0.75               | 0.75               |
| idTrunk1_subgraph          | True              | 360               | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idWhistle1_subgraph        | True              | 240               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idWindow1_subgraph         | True              | 1227              | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+

