DATASET: HealTheCar

+-----------------------------------------------------------------+
|                        EVALUATION METRICS                       |
+--------------------------------------------+--------------------+
| Metric                                     | Value              |
+--------------------------------------------+--------------------+
| Graph Count                                | 29                 |
| Graphs that produced SEMENTs               | 26                 |
| Graphs w/ SEMENTs coverage                 | 0.896551724137931  |
| Graphs that generated text                 | 25                 |
| Graphs w/ text coverage                    | 0.8620689655172413 |
+--------------------------------------------+--------------------+
| Total Node Count                           | 142                |
| Total Nodes Covered                        | 130                |
| Total Nodes Included                       | 121                |
| Total Node Coverage                        | 0.9154929577464789 |
| Total Node Inclusion                       | 0.852112676056338  |
+--------------------------------------------+--------------------+
| Total Edge Count                           | 117                |
| Total Edges Covered                        | 100                |
| Total Edges Included                       | 97                 |
| Total Edge Coverage                        | 0.8547008547008547 |
| Total Edge Inclusion                       | 0.8290598290598291 |
+--------------------------------------------+--------------------+
| # Semantic Composition Functions Available | 28                 |
| # Semantic Composition Functions Used      | 15                 |
| # Semantic Composition Function Coverage   | 0.5357142857142857 |
+--------------------------------------------+--------------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                            GRAPH SUMMARIES                                                                             |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+
| Graph Name                 | Generated SEMENT? | # of text results | Nodes | Node Coverage      | Node Inclusion     | Edges | Edge Coverage      | Edge Inclusion     |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+
| idArea1_subgraph           | True              | 48                | 3     | 0.6666666666666666 | 0.6666666666666666 | 2     | 0.5                | 0.5                |
| idBear1_subgraph           | True              | 1658              | 12    | 1.0                | 0.9166666666666666 | 11    | 0.9090909090909091 | 0.9090909090909091 |
| idBumper1_subgraph         | False             | 0                 | 6     | 0.8333333333333334 | 0.0                | 5     | 0.6                | 0.0                |
| idBush1_subgraph           | True              | 20                | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idCar1_subgraph            | True              | 1699              | 7     | 1.0                | 1.0                | 6     | 1.0                | 1.0                |
| idCarDoor1_subgraph        | True              | 950               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idCarKey1_subgraph         | True              | 960               | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idClearing1_subgraph       | True              | 480               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idCrowbar1_subgraph        | True              | 0                 | 8     | 1.0                | 1.0                | 7     | 1.0                | 1.0                |
| idDen1_subgraph            | True              | 10                | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idHorse1_subgraph          | True              | 10                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idLock1_subgraph           | True              | 920               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idMan1_subgraph            | True              | 72                | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idPassenger1_subgraph      | True              | 10                | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idPlayerBackside_subgraph  | True              | 628               | 8     | 1.0                | 1.0                | 7     | 1.0                | 1.0                |
| idPlayerLeftHand_subgraph  | True              | 3232              | 5     | 1.0                | 0.8                | 4     | 0.75               | 0.75               |
| idPlayerRightHand_subgraph | True              | 96                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idPlayer_subgraph          | True              | 800               | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idSideMirror1_subgraph     | False             | 0                 | 7     | 0.0                | 0.0                | 7     | 0.0                | 0.0                |
| idSmoke1_subgraph          | True              | 180               | 4     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idSpill1_subgraph          | True              | 120               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idStump1_subgraph          | True              | 1602              | 10    | 1.0                | 0.9                | 9     | 0.8888888888888888 | 0.8888888888888888 |
| idTaillight1_subgraph      | False             | 0                 | 3     | 0.0                | 0.0                | 3     | 0.0                | 0.0                |
| idTheCar1_subgraph         | True              | 10                | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idTheCarRoom1_subgraph     | True              | 640               | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idTire1_subgraph           | True              | 12                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idTrunk1_subgraph          | True              | 998               | 9     | 1.0                | 1.0                | 9     | 1.0                | 1.0                |
| idWhistle1_subgraph        | True              | 2610              | 7     | 1.0                | 1.0                | 6     | 1.0                | 1.0                |
| idWindow1_subgraph         | True              | 20                | 4     | 1.0                | 0.75               | 3     | 0.6666666666666666 | 0.6666666666666666 |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+

