DATASET: HealTheCar

+-----------------------------------------------------------------+
|                        EVALUATION METRICS                       |
+--------------------------------------------+--------------------+
| Metric                                     | Value              |
+--------------------------------------------+--------------------+
| Graph Count                                | 29                 |
| Graphs that produced SEMENTs               | 27                 |
| Graphs w/ SEMENTs coverage                 | 0.9310344827586207 |
| Graphs that generated text                 | 26                 |
| Graphs w/ text coverage                    | 0.896551724137931  |
+--------------------------------------------+--------------------+
| Total Node Count                           | 142                |
| Total Nodes Covered                        | 131                |
| Total Nodes Included                       | 128                |
| Total Node Coverage                        | 0.9225352112676056 |
| Total Node Inclusion                       | 0.9014084507042254 |
+--------------------------------------------+--------------------+
| Total Edge Count                           | 117                |
| Total Edges Covered                        | 103                |
| Total Edges Included                       | 103                |
| Total Edge Coverage                        | 0.8803418803418803 |
| Total Edge Inclusion                       | 0.8803418803418803 |
+--------------------------------------------+--------------------+
| # Semantic Composition Functions Available | 29                 |
| # Semantic Composition Functions Used      | 16                 |
| # Semantic Composition Function Coverage   | 0.5517241379310345 |
+--------------------------------------------+--------------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                            GRAPH SUMMARIES                                                                             |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+
| Graph Name                 | Generated SEMENT? | # of text results | Nodes | Node Coverage      | Node Inclusion     | Edges | Edge Coverage      | Edge Inclusion     |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+
| idArea1_subgraph           | True              | 12                | 3     | 0.6666666666666666 | 0.6666666666666666 | 2     | 0.5                | 0.5                |
| idBear1_subgraph           | True              | 1519              | 12    | 1.0                | 0.9166666666666666 | 11    | 0.9090909090909091 | 0.9090909090909091 |
| idBumper1_subgraph         | True              | 2483              | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idBush1_subgraph           | True              | 20                | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idCar1_subgraph            | True              | 1159              | 7     | 1.0                | 1.0                | 6     | 1.0                | 1.0                |
| idCarDoor1_subgraph        | True              | 450               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idCarKey1_subgraph         | True              | 960               | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idClearing1_subgraph       | True              | 480               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idCrowbar1_subgraph        | True              | 0                 | 8     | 1.0                | 1.0                | 7     | 1.0                | 1.0                |
| idDen1_subgraph            | True              | 10                | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idHorse1_subgraph          | True              | 10                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idLock1_subgraph           | True              | 120               | 5     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idMan1_subgraph            | True              | 72                | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idPassenger1_subgraph      | True              | 10                | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idPlayerBackside_subgraph  | True              | 545               | 8     | 1.0                | 1.0                | 7     | 1.0                | 1.0                |
| idPlayerLeftHand_subgraph  | True              | 942               | 5     | 1.0                | 0.8                | 4     | 0.75               | 0.75               |
| idPlayerRightHand_subgraph | True              | 96                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idPlayer_subgraph          | True              | 2214              | 3     | 1.0                | 1.0                | 2     | 1.0                | 1.0                |
| idSideMirror1_subgraph     | False             | 0                 | 7     | 0.0                | 0.0                | 7     | 0.0                | 0.0                |
| idSmoke1_subgraph          | True              | 180               | 4     | 1.0                | 1.0                | 4     | 1.0                | 1.0                |
| idSpill1_subgraph          | True              | 120               | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
| idStump1_subgraph          | True              | 798               | 10    | 1.0                | 0.9                | 9     | 0.8888888888888888 | 0.8888888888888888 |
| idTaillight1_subgraph      | False             | 0                 | 3     | 0.0                | 0.0                | 3     | 0.0                | 0.0                |
| idTheCar1_subgraph         | True              | 2                 | 1     | 1.0                | 1.0                | 0     | 0                  | 0                  |
| idTheCarRoom1_subgraph     | True              | 160               | 6     | 1.0                | 1.0                | 5     | 1.0                | 1.0                |
| idTire1_subgraph           | True              | 12                | 2     | 1.0                | 1.0                | 1     | 1.0                | 1.0                |
| idTrunk1_subgraph          | True              | 1242              | 9     | 1.0                | 1.0                | 9     | 1.0                | 1.0                |
| idWhistle1_subgraph        | True              | 1027              | 7     | 1.0                | 1.0                | 6     | 1.0                | 1.0                |
| idWindow1_subgraph         | True              | 2400              | 4     | 1.0                | 1.0                | 3     | 1.0                | 1.0                |
+----------------------------+-------------------+-------------------+-------+--------------------+--------------------+-------+--------------------+--------------------+

